Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663954928.8274693,1,1663969330,0,,42.338695,-71.08508333333333,60.7,328233.5063961118,4689487.757761125,19,T
1663954929.8276873,2,1663969331,0,,42.338695,-71.08508333333333,60.7,328233.5063961118,4689487.757761125,19,T
1663954930.828407,3,1663969332,0,,42.338695,-71.085085,60.6,328233.3690925241,4689487.761127955,19,T
1663954931.8261416,4,1663969333,0,,42.338695,-71.085085,60.6,328233.3690925241,4689487.761127955,19,T
1663954932.8242922,5,1663969334,0,,42.33870666666667,-71.08512833333333,56.3,328229.83096684056,4689489.1441608695,19,T
1663954933.8246284,6,1663969335,0,,42.33871333333333,-71.08514666666666,54.3,328228.338780722,4689489.921479461,19,T
1663954934.8258343,7,1663969336,0,,42.33871666666667,-71.08515833333334,53.1,328227.38673247333,4689490.315189302,19,T
1663954935.8241458,8,1663969337,0,,42.33871833333333,-71.08516666666667,52.5,328226.7047530829,4689490.517094712,19,T
1663954936.841271,9,1663969338,0,,42.33872,-71.08517166666667,52.1,328226.2973807923,4689490.712266242,19,T
1663954937.8268602,10,1663969339,0,,42.338721666666665,-71.085175,51.8,328226.0273120559,4689490.9040708225,19,T
1663954938.8254294,11,1663969340,0,,42.338721666666665,-71.08517833333333,51.5,328225.7527049974,4689490.910804779,19,T
1663954939.8225613,12,1663969341,0,,42.338721666666665,-71.08518,51.3,328225.6154014691,4689490.914171763,19,T
1663954940.825133,13,1663969342,0,,42.338723333333334,-71.08518166666667,51.2,328225.4826362807,4689491.102609379,19,T
1663954941.8262484,14,1663969343,0,,42.338723333333334,-71.08518333333333,51.2,328225.34533275606,4689491.105976367,19,T
1663954942.8491476,15,1663969344,0,,42.33875,-71.08531666666667,35.9,328214.4336688678,4689494.33647429,19,T
1663954943.830362,16,1663969345,0,,42.33876166666667,-71.08538833333333,27.1,328208.56139127654,4689495.776761055,19,T
1663954944.8350744,17,1663969346,0,,42.33876166666667,-71.08538833333333,26.9,328208.56139127654,4689495.776761055,19,T
1663954945.8304842,18,1663969347,0,,42.33876166666667,-71.08539,26.7,328208.4240878316,4689495.7801283775,19,T
1663954946.8319824,19,1663969348,0,,42.33876166666667,-71.08539166666667,26.5,328208.2867843887,4689495.783495702,19,T
1663954947.8299625,20,1663969349,0,,42.338768333333334,-71.08543166666666,21.6,328205.00965729676,4689496.604594862,19,T
